precision,recall,threshold
0.4914,0.4281,0.4784
0.4931,0.4281,0.4784
0.4948,0.4281,0.4784
0.4965,0.4281,0.4784
0.4983,0.4281,0.4786
0.5,0.4281,0.4794
0.5018,0.4281,0.4794
0.5035,0.4281,0.4795
0.5053,0.4281,0.4796
0.5071,0.4281,0.4802
0.5089,0.4281,0.4804
0.5071,0.4251,0.4811
0.5054,0.4222,0.4815
0.5036,0.4192,0.482
0.5054,0.4192,0.4823
0.5036,0.4162,0.4823
0.5055,0.4162,0.4827
0.5073,0.4162,0.4827
0.5055,0.4132,0.4832
0.5037,0.4102,0.4833
0.5055,0.4102,0.4834
0.5037,0.4072,0.4841
0.5019,0.4042,0.4841
0.5037,0.4042,0.4842
0.5019,0.4012,0.4842
0.5,0.3982,0.4843
0.5019,0.3982,0.4851
0.5038,0.3982,0.4854
0.5057,0.3982,0.4854
0.5038,0.3952,0.4854
0.5019,0.3922,0.4858
0.5,0.3892,0.4859
0.4981,0.3862,0.4859
0.4961,0.3832,0.486
0.4942,0.3802,0.4866
0.4922,0.3772,0.4869
0.4902,0.3743,0.4875
0.4921,0.3743,0.4882
0.4901,0.3713,0.489
0.4921,0.3713,0.4891
0.494,0.3713,0.4895
0.496,0.3713,0.4897
0.498,0.3713,0.4904
0.5,0.3713,0.4906
0.502,0.3713,0.4909
0.5041,0.3713,0.4909
0.5061,0.3713,0.4913
0.5082,0.3713,0.4919
0.5062,0.3683,0.4919
0.5083,0.3683,0.492
0.5062,0.3653,0.4921
0.5083,0.3653,0.4928
0.5063,0.3623,0.4933
0.5084,0.3623,0.4934
0.5063,0.3593,0.4938
0.5042,0.3563,0.4941
0.5021,0.3533,0.4942
0.5043,0.3533,0.4947
0.5021,0.3503,0.4949
0.5,0.3473,0.495
0.4978,0.3443,0.4952
0.4957,0.3413,0.4954
0.4934,0.3383,0.4957
0.4912,0.3353,0.4958
0.489,0.3323,0.4959
0.4867,0.3293,0.4964
0.4844,0.3263,0.4964
0.4866,0.3263,0.4967
0.4888,0.3263,0.4971
0.491,0.3263,0.4974
0.4887,0.3234,0.4976
0.4864,0.3204,0.4979
0.4886,0.3204,0.4982
0.4862,0.3174,0.4982
0.4839,0.3144,0.4982
0.4861,0.3144,0.4985
0.4837,0.3114,0.4985
0.486,0.3114,0.4985
0.4883,0.3114,0.4988
0.4906,0.3114,0.499
0.4882,0.3084,0.4995
0.4905,0.3084,0.4995
0.488,0.3054,0.5004
0.4904,0.3054,0.5006
0.4879,0.3024,0.501
0.4903,0.3024,0.5017
0.4878,0.2994,0.5023
0.4902,0.2994,0.503
0.4877,0.2964,0.503
0.4851,0.2934,0.5031
0.4876,0.2934,0.5032
0.485,0.2904,0.504
0.4874,0.2904,0.5045
0.4848,0.2874,0.5057
0.4822,0.2844,0.5059
0.4847,0.2844,0.5061
0.4872,0.2844,0.5061
0.4897,0.2844,0.5068
0.4922,0.2844,0.507
0.4896,0.2814,0.507
0.4869,0.2784,0.5082
0.4842,0.2754,0.5084
0.4815,0.2725,0.5085
0.484,0.2725,0.5086
0.4866,0.2725,0.5088
0.4892,0.2725,0.5092
0.4919,0.2725,0.5097
0.4946,0.2725,0.5102
0.4973,0.2725,0.5111
0.5,0.2725,0.5111
0.4972,0.2695,0.5112
0.5,0.2695,0.5113
