precision,recall,threshold
0.4976,0.5417,0.4819
0.4964,0.5391,0.4821
0.4976,0.5391,0.4821
0.4988,0.5391,0.4821
0.4976,0.5365,0.4822
0.4964,0.5339,0.4823
0.4976,0.5339,0.4824
0.4988,0.5339,0.4824
0.4976,0.5312,0.4825
0.4988,0.5312,0.4825
0.4975,0.5286,0.4826
0.4963,0.526,0.4826
0.4951,0.5234,0.4826
0.4938,0.5208,0.4827
0.495,0.5208,0.4827
0.4938,0.5182,0.4828
0.495,0.5182,0.4829
0.4938,0.5156,0.483
0.4925,0.513,0.483
0.4912,0.5104,0.4831
0.4899,0.5078,0.4831
0.4887,0.5052,0.4831
0.4899,0.5052,0.4831
0.4886,0.5026,0.4832
0.4873,0.5,0.4833
0.4885,0.5,0.4833
0.4872,0.4974,0.4834
0.4859,0.4948,0.4835
0.4872,0.4948,0.4835
0.4884,0.4948,0.4836
0.4897,0.4948,0.4836
0.491,0.4948,0.4836
0.4896,0.4922,0.4838
0.4883,0.4896,0.4838
0.487,0.487,0.484
0.4883,0.487,0.4842
0.4869,0.4844,0.4842
0.4856,0.4818,0.4842
0.4868,0.4818,0.4844
0.4881,0.4818,0.4847
0.4894,0.4818,0.4848
0.4881,0.4792,0.4848
0.4894,0.4792,0.4849
0.4907,0.4792,0.4849
0.492,0.4792,0.485
0.4906,0.4766,0.485
0.4892,0.474,0.485
0.4906,0.474,0.485
0.4919,0.474,0.4853
0.4932,0.474,0.4854
0.4946,0.474,0.4854
0.4932,0.4714,0.4855
0.4918,0.4688,0.4855
0.4932,0.4688,0.4855
0.4918,0.4661,0.4856
0.4904,0.4635,0.4856
0.489,0.4609,0.4856
0.4903,0.4609,0.4857
0.4889,0.4583,0.4857
0.4875,0.4557,0.4858
0.486,0.4531,0.4859
0.4874,0.4531,0.486
0.4888,0.4531,0.486
0.4901,0.4531,0.4861
0.4915,0.4531,0.4862
0.4901,0.4505,0.4864
0.4915,0.4505,0.4865
0.4929,0.4505,0.4866
0.4943,0.4505,0.4866
0.4957,0.4505,0.4867
0.4971,0.4505,0.4868
0.4986,0.4505,0.4871
0.5,0.4505,0.4872
0.4986,0.4479,0.4872
0.4971,0.4453,0.4874
0.4985,0.4453,0.4874
0.5,0.4453,0.4874
0.5015,0.4453,0.4875
0.5029,0.4453,0.4876
0.5015,0.4427,0.4876
0.503,0.4427,0.4878
0.5045,0.4427,0.4878
0.506,0.4427,0.488
0.5045,0.4401,0.4881
0.506,0.4401,0.4881
0.5075,0.4401,0.4882
0.506,0.4375,0.4882
0.5045,0.4349,0.4882
0.503,0.4323,0.4884
0.5015,0.4297,0.4885
0.5,0.4271,0.4885
0.4985,0.4245,0.4885
0.4969,0.4219,0.4886
0.4985,0.4219,0.4887
0.5,0.4219,0.4888
0.5015,0.4219,0.489
0.5,0.4193,0.489
