precision,recall,threshold
0.4766,0.1826,0.5092
0.4724,0.1796,0.5093
0.4762,0.1796,0.5095
0.472,0.1766,0.51
0.4758,0.1766,0.5102
0.4797,0.1766,0.5103
0.4836,0.1766,0.5107
0.4876,0.1766,0.5113
0.4917,0.1766,0.5122
0.4958,0.1766,0.5124
0.5,0.1766,0.5126
0.4957,0.1737,0.5127
0.5,0.1737,0.5128
0.4957,0.1707,0.5128
0.4912,0.1677,0.5129
0.4867,0.1647,0.5132
0.4911,0.1647,0.5137
0.4865,0.1617,0.5138
0.4818,0.1587,0.5139
0.4862,0.1587,0.5144
0.4907,0.1587,0.5148
0.4953,0.1587,0.5154
0.4906,0.1557,0.5155
0.4857,0.1527,0.5156
0.4904,0.1527,0.5157
0.4854,0.1497,0.5166
0.4804,0.1467,0.5169
0.4851,0.1467,0.517
0.48,0.1437,0.5171
0.4848,0.1437,0.5173
0.4898,0.1437,0.5173
0.4948,0.1437,0.5175
0.4896,0.1407,0.5183
0.4947,0.1407,0.5183
0.5,0.1407,0.5185
0.4946,0.1377,0.5185
0.5,0.1377,0.519
0.4945,0.1347,0.5191
0.5,0.1347,0.5193
0.5056,0.1347,0.5193
0.5,0.1317,0.5197
0.5057,0.1317,0.5199
0.5,0.1287,0.5201
0.4941,0.1257,0.521
0.5,0.1257,0.5214
0.494,0.1228,0.5214
0.5,0.1228,0.5218
0.5062,0.1228,0.5223
0.5125,0.1228,0.5225
0.5063,0.1198,0.5226
0.5,0.1168,0.5233
0.5065,0.1168,0.5233
0.5132,0.1168,0.5241
0.52,0.1168,0.5252
0.527,0.1168,0.5254
0.5205,0.1138,0.5255
0.5278,0.1138,0.5257
0.5211,0.1108,0.5262
0.5286,0.1108,0.5271
0.5362,0.1108,0.5274
0.5294,0.1078,0.5276
0.5373,0.1078,0.5278
0.5455,0.1078,0.5285
0.5385,0.1048,0.529
0.5312,0.1018,0.5296
0.5397,0.1018,0.5298
0.5323,0.0988,0.53
0.541,0.0988,0.5301
0.5333,0.0958,0.5304
0.5254,0.0928,0.5307
0.5172,0.0898,0.5311
0.5263,0.0898,0.5327
0.5179,0.0868,0.5333
0.5091,0.0838,0.5335
0.5185,0.0838,0.5338
0.5094,0.0808,0.5342
0.5,0.0778,0.5346
0.4902,0.0749,0.5352
0.48,0.0719,0.5354
0.4694,0.0689,0.536
0.4583,0.0659,0.5362
0.4468,0.0629,0.5363
0.4348,0.0599,0.5367
0.4444,0.0599,0.5373
0.4318,0.0569,0.5376
0.4419,0.0569,0.5376
0.4286,0.0539,0.538
0.439,0.0539,0.5393
0.425,0.0509,0.5401
0.4103,0.0479,0.5414
0.4211,0.0479,0.5416
0.4054,0.0449,0.5417
0.3889,0.0419,0.5424
0.4,0.0419,0.5424
0.3824,0.0389,0.5427
0.3636,0.0359,0.5436
0.3438,0.0329,0.5439
0.3548,0.0329,0.5453
0.3667,0.0329,0.5453
0.3793,0.0329,0.5459
0.3929,0.0329,0.5461
0.3704,0.0299,0.5466
0.3846,0.0299,0.5475
0.36,0.0269,0.5476
0.375,0.0269,0.5486
0.3913,0.0269,0.5489
0.3636,0.024,0.5502
0.3333,0.021,0.5516
0.35,0.021,0.5523
0.3158,0.018,0.5529
0.3333,0.018,0.5529
0.2941,0.015,0.5533
0.3125,0.015,0.5541
0.3333,0.015,0.5549
0.3571,0.015,0.555
0.3846,0.015,0.5551
0.3333,0.012,0.5556
0.3636,0.012,0.5581
0.4,0.012,0.5588
0.4444,0.012,0.5613
0.5,0.012,0.5631
0.4286,0.009,0.5632
0.5,0.009,0.5652
0.4,0.006,0.5675
0.25,0.003,0.5741
0.3333,0.003,0.5756
0.0,0.0,0.576
0.0,0.0,0.5918
