target,feature,family,verdict,mean_logloss_improvement,fold_1,fold_2,fold_3,fold_4
home_win,away_walks_accel_10v30,rolling_trend,REMOVE,-0.00041887408148075234,-0.00044615707790651715,-0.00039494260229089306,-0.000817368245730199,-1.702839999540018e-05
home_win,away_strikeouts_accel_5v10,rolling_trend,REMOVE,-0.00033038868208484784,-0.00021303110478887444,-0.00042525915676006054,-0.0007538238007379627,7.055933394750635e-05
home_win,away_strikeouts_accel_5v30,rolling_trend,REMOVE,-0.0003764425230957935,-5.5342780280631665e-05,-0.0005833052237652625,-0.0007691685641828538,-9.795352415442604e-05
home_win,away_strikeouts_accel_10v30,rolling_trend,REMOVE,-0.00022194562404104223,-0.0005110082646985203,-5.131304677985504e-05,-0.0008905945147391625,0.000565133330053369
home_win,away_run_diff_5g,rolling_trend,REMOVE,-0.00039363414637794136,-0.00030328531573375894,-0.0005414638798275639,-0.0006830270193147747,-4.676037063566785e-05
home_win,away_run_diff_30g,rolling_trend,REMOVE,-0.0005152595330892851,-0.0007117103217164633,-0.0005102284561855353,-0.0006486045272728891,-0.00019049482718225264
home_win,combined_scoring_form_5g,recent_form,REMOVE,-0.00029904438583922,-0.00014327860755591892,-0.00016315448094894602,-0.0009988357355584787,0.00010909128070646368
home_win,combined_prevention_form_5g,recent_form,REMOVE,-0.0001973440777790214,-0.0001843596761432753,2.7332336022145576e-05,-0.0008383261798827757,0.00020597720888781978
home_win,run_environment_form_5g,recent_form,REMOVE,-0.0004402088977810137,-0.000391520686114033,-0.0002950215471659856,-0.001174247847628429,9.995448978439292e-05
home_win,combined_scoring_form_10g,recent_form,REMOVE,-0.00032359262950842904,-0.00036424094424447606,-0.0001265055110276636,-0.0008982123355056881,9.458827274411163e-05
home_win,combined_prevention_form_10g,recent_form,REMOVE,-0.0004234220777571407,-0.0003433157071420778,-0.0003604909847859661,-0.0010573504887416707,6.746886964115184e-05
home_win,run_environment_form_10g,recent_form,REMOVE,-0.0003930104400277079,-0.00041490240163666314,-0.0003244423784279915,-0.0008569400930162896,2.4243112970112612e-05
home_win,combined_scoring_form_30g,recent_form,REMOVE,-0.00021356810186912156,-0.000356803334084721,-0.00011463408286094268,-0.0009939483383187842,0.0006111133477879616
home_win,combined_prevention_form_30g,recent_form,REMOVE,-0.00020358887590218866,-0.000501150714933396,-7.804788054621703e-05,-0.0007651453196299007,0.0005299884115007591
home_win,run_environment_form_30g,recent_form,REMOVE,-0.00033605374192713366,7.119940104471922e-05,-0.00045583004183447073,-0.0009107264851963004,-4.885784172248275e-05
home_win,rest_advantage,recent_form,REMOVE,-0.00017486078927900217,-0.0001001381926618583,-0.000498516349278999,-0.00019555216757061178,9.476355239546042e-05
home_win,market_home_logit,market_derived,REMOVE,-0.0005513845653100924,-0.00024923427882928006,-0.0008507878991996787,-0.0012069999256365538,0.00010148384242514297
home_win,market_favorite_strength,market_derived,REMOVE,-0.00048347176484528354,-5.125992786847444e-05,-0.0007701726153886979,-0.0010961586340177965,-1.6295882106165394e-05
home_win,market_price_asymmetry,market_derived,REMOVE,-0.0003184131767663967,-0.00011879452484286901,-0.0004980067777646813,-0.00078579673433532,0.00012894532987728358
home_win,total_juice_skew,market_derived,REMOVE,-0.00027766839939363797,-0.0004886672564586858,-7.134181862344935e-05,-0.0009392819294136157,0.00038861740692119895
home_win,closing_total_prior_z,market_derived,REMOVE,-9.594322212930217e-05,0.00022898594915909953,-0.0002596519088956528,-0.0008154018068328162,0.00046229487805216074
home_win,home_bp_outs_3g,bullpen,REMOVE,-0.00029105360702938454,-0.0003552467163125961,-0.0003438814869709539,-0.0005880283507123663,0.00012294212587837805
home_win,home_bp_er_3g,bullpen,REMOVE,-0.0004894570838032686,-0.0007648015689859511,-0.0007552578330384252,-0.0008272449347178634,0.0003894760015291654
home_win,home_bp_hits_3g,bullpen,REMOVE,-0.0005096853677947211,-0.0004737589820151822,-0.0006924465601657603,-0.0008733871955006745,8.51266502732706e-07
home_win,home_bp_bb_3g,bullpen,REMOVE,-0.00029862951882425604,-5.956027720255275e-05,-0.0004305965781463694,-0.000826205568367766,0.00012184434841966407
home_win,home_bp_so_3g,bullpen,REMOVE,-0.000540484287788412,-0.00023674059676026538,-0.0008470982296026053,-0.0008842282763334985,-0.00019387004845727862
home_win,home_bp_hr_3g,bullpen,REMOVE,-0.00015938865841422234,-0.00044280286167464045,-0.0002063304345181205,-0.0005654598285197432,0.0005770384910556148
home_win,home_bp_pitches_3g,bullpen,REMOVE,-0.0004112703049885258,-0.0005341314395396202,-0.000297068304008663,-0.0009749385270454436,0.0001610570506396236
home_win,home_bp_era_3g,bullpen,REMOVE,-0.0003277794934954392,-0.0006329899313273213,-0.0005542728360503624,-0.0007316943651781704,0.0006078391585740972
home_win,home_bp_whip_3g,bullpen,REMOVE,-0.00038885527722318236,-0.00040346185581185967,-0.0004660001263838698,-0.0008395558266832692,0.00015359669998626924
home_win,home_bp_k_minus_bb_3g,bullpen,REMOVE,-0.00039363374420581243,-0.0004622300797166856,-0.00030202399886813946,-0.00045460597875590647,-0.00035567491948251817
home_win,home_bp_pitches_per_out_3g,bullpen,REMOVE,-0.0004911602846505991,-0.00045560355899443294,-0.000801546514948015,-0.0006986058495459524,-8.885215113996203e-06
home_win,home_bp_outs_7g,bullpen,REMOVE,-0.0004378250972787434,-0.0005138885078128652,-0.0003610668577549436,-0.0008865246909658397,1.0179667418674931e-05
home_win,home_bp_er_7g,bullpen,REMOVE,-0.000181080424875385,-0.00026019285078549004,-0.00020014744276786178,-0.0007303070296300618,0.0004663256236818736
home_win,home_bp_hits_7g,bullpen,REMOVE,-0.0004067566401786127,-0.0002261047515501602,-0.00043684398531307345,-0.0010437307699463494,7.965294609513229e-05
home_win,home_bp_bb_7g,bullpen,REMOVE,-0.00019081723491715108,-8.397299057938401e-05,4.568310649988305e-05,-0.0006737960448901514,-5.1183010698951925e-05
home_win,home_bp_so_7g,bullpen,REMOVE,-0.00045534399254637536,-0.000532332699183069,-0.0002532171129173699,-0.001136015975371274,0.00010018981728621146
home_win,home_bp_hr_7g,bullpen,REMOVE,-0.00027163602398683206,-0.0002860216449874775,-0.0002774887620166089,-0.0008345516589968183,0.0003115179700535764
home_win,home_bp_pitches_7g,bullpen,REMOVE,-0.0004439817960982806,-0.0006937704154131863,-0.00027195479545960577,-0.0006666751292864204,-0.00014352684423390993
home_win,home_bp_era_7g,bullpen,REMOVE,-0.0002544509790470273,-0.0002886167013499419,-0.00025859733625632764,-0.0007926495595340644,0.0003220596809522247
home_win,home_bp_whip_7g,bullpen,REMOVE,-0.0003173855548705973,-0.0001618695702786388,-0.00011833541092542976,-0.0011841458419674655,0.000194808603689145
home_win,home_bp_k_minus_bb_7g,bullpen,REMOVE,-0.00038935861415850814,-0.00038209470806460644,-0.000341716481405796,-0.0010460744452669424,0.00021245117810331227
