batter_id,year,avg_exit_velo,at_bats,avg_launch_angle
621311,2024,81.02448979591837,98,21.1734693877551
621433,2024,,0,
621438,2024,82.09595588235294,544,20.126605504587157
621438,2025,80.47323340471092,467,24.552462526766597
621439,2024,85.16899224806201,516,17.949612403100776
621439,2025,85.16718972895863,701,17.89615931721195
621450,2024,,0,
621458,2024,83.65555555555555,9,16.0
621458,2025,83.45,10,-10.2
621466,2024,82.72355555555555,225,21.92
621466,2025,79.1,8,21.375
621493,2024,83.8836784409257,821,19.936739659367397
621493,2025,84.28506493506494,770,20.809585492227978
621512,2024,82.37795698924731,186,16.79144385026738
621512,2025,79.66610169491526,59,17.28813559322034
621529,2024,92.33333333333333,3,31.666666666666668
621529,2025,79.28571428571429,7,28.285714285714285
621532,2024,84.25,6,4.571428571428571
621545,2024,78.83250000000001,40,14.475
621550,2024,83.84170403587444,223,28.672645739910315
621563,2024,80.63454545454545,55,2.2181818181818183
621566,2024,83.44095796676443,1023,22.510721247563353
621566,2025,85.36794742163801,989,21.90293225480283
622110,2024,89.76,10,12.7
622268,2024,78.1032258064516,31,23.06451612903226
622268,2025,82.87,20,2.65
622491,2024,,0,
622534,2024,80.8288844621514,502,19.280318091451292
622534,2025,78.29756097560976,41,20.146341463414632
622569,2024,80.61142857142858,105,19.61904761904762
622569,2025,81.77540983606558,61,22.049180327868854
622761,2024,79.53039215686275,306,20.96732026143791
622761,2025,78.36168224299067,107,21.175925925925927
623168,2024,73.50952380952381,21,27.095238095238095
623168,2025,77.22583025830258,271,19.228782287822877
623205,2024,,0,
623205,2025,81.55,12,18.833333333333332
623507,2024,,0,
623520,2024,81.55,60,15.2
623912,2024,81.81219512195122,328,6.399390243902439
623993,2024,83.27908745247149,1052,26.11596958174905
623993,2025,83.1,383,27.096354166666668
624413,2024,83.66806451612904,930,19.07741935483871
624413,2025,86.7442265795207,918,20.75108695652174
624414,2024,,0,
624414,2025,74.38888888888889,9,18.0
624415,2024,77.54879725085911,291,23.0446735395189
624415,2025,83.4175925925926,108,17.25
624424,2024,83.76526655896608,619,17.848142164781905
624424,2025,82.95470852017937,669,15.7
624428,2024,77.97941834451902,447,18.61744966442953
624428,2025,79.89759358288771,748,18.86096256684492
624431,2024,82.41666666666667,294,13.433898305084746
624431,2025,83.50299999999999,400,16.8125
624503,2024,79.3488888888889,405,13.068965517241379
624503,2025,85.25,2,-26.5
624512,2024,79.13694581280788,203,16.40394088669951
624512,2025,80.60000000000001,196,19.056122448979593
624513,2024,86.16666666666667,6,-4.333333333333333
624513,2025,72.89999999999999,12,5.083333333333333
624523,2025,90.9,5,20.0
624585,2024,83.84167852062589,703,17.699857752489333
624585,2025,82.87044854881267,379,16.076517150395777
624641,2024,80.87512315270936,406,15.639705882352942
624641,2025,81.75728643216081,398,16.77889447236181
628451,2024,82.31022099447513,362,22.298342541436465
628451,2025,81.8072607260726,303,18.856209150326798
630105,2024,82.00867810292634,991,19.183467741935484
630105,2025,81.26995884773663,729,20.37568306010929
640458,2025,82.575,8,7.625
640459,2025,92.01052631578948,19,10.947368421052632
640460,2024,85.7,2,53.0
640492,2024,78.80483870967741,124,15.161290322580646
640492,2025,80.55348837209303,43,12.232558139534884
640902,2024,81.88958333333333,48,16.583333333333332
640902,2025,82.5561224489796,98,19.29591836734694
641302,2025,88.15,2,-9.5
641313,2024,80.31031518624641,349,6.0573065902578795
641313,2025,82.46363636363635,143,11.034965034965035
641343,2024,82.1521186440678,472,22.875
641343,2025,84.03133802816902,284,17.926315789473684
641355,2024,82.49780927835052,776,17.947232947232948
641355,2025,83.08517073170732,1025,21.098536585365853
641432,2024,82.82592592592593,351,20.854700854700855
641468,2025,93.7,1,20.0
641487,2024,81.5104377104377,594,17.121008403361344
641487,2025,80.8845084409136,1007,18.566468253968253
641505,2024,76.375,4,-18.75
641511,2024,79.98387096774194,31,24.93548387096774
641511,2025,94.3,1,21.0
641555,2024,83.225,4,28.0
641555,2025,85.26558441558441,154,16.29032258064516
641584,2024,79.63706293706294,572,15.63304347826087
641584,2025,80.76390728476821,302,18.607260726072607
641598,2024,83.86644736842105,456,19.88402625820569
641598,2025,85.84104046242774,346,22.716763005780347
641645,2024,81.1406015037594,266,15.778195488721805
641645,2025,80.51612903225806,31,23.677419354838708
641658,2024,80.03289473684211,304,20.026315789473685
641658,2025,75.53550724637681,138,25.818840579710145
641680,2024,82.62900136798906,731,19.189890710382514
641680,2025,82.37077922077923,616,21.26860841423948
641779,2024,79.11666666666666,30,22.8
641796,2025,77.875,4,20.25
641820,2024,80.60000000000001,12,19.583333333333332
