pitcher_id,year,avg_fastball_velo,pitches_thrown,games
605400,2025,86.0813607775872,1749,20
605441,2024,,0,1
605447,2024,91.2,215,15
605447,2025,89.43794940079893,751,53
605452,2024,91.11727272727272,1210,28
605452,2025,91.81196013289036,903,39
605463,2024,89.06913779210315,1241,66
605463,2025,87.96486486486486,555,26
605483,2024,89.47247602932883,1773,20
605483,2025,88.82477650063858,1565,17
605488,2024,84.70796460176992,565,7
605488,2025,85.2163329820864,2847,34
605498,2024,84.64736842105263,38,2
605507,2025,86.18666666666667,60,4
605513,2024,87.70703666997026,1009,20
605513,2025,86.292,125,3
605540,2025,90.0734439834025,964,13
606131,2024,,0,1
606149,2024,87.57815533980582,412,25
606160,2024,93.46553672316385,708,44
606160,2025,90.95679785330948,1118,63
606303,2024,89.94236559139785,930,74
606303,2025,89.39871244635194,466,33
606930,2024,92.22900626678603,1117,65
606930,2025,89.7525,160,8
606965,2024,85.93045871559633,545,21
606965,2025,84.68381294964028,278,14
606996,2025,86.11829268292684,819,22
607067,2024,88.66903055450774,2650,34
607067,2025,89.45035781544257,2655,36
607074,2024,90.76181003082097,3569,38
607074,2025,89.57252683492892,3447,36
607179,2024,92.6821794871795,780,45
607179,2025,92.41428571428571,98,4
607192,2024,92.23983092988563,2011,22
607192,2025,91.32214022140222,1895,25
607200,2024,89.22616005379959,2972,32
607200,2025,88.94881439084219,2445,34
607216,2024,89.2,14,3
607216,2025,,0,1
607229,2024,,0,1
607237,2024,88.88076923076923,104,8
607259,2024,87.18790588235294,2125,43
607259,2025,86.89258704605017,2671,42
607455,2024,92.14427083333334,960,61
607455,2025,90.67420189818809,1159,79
607481,2024,87.97477567298105,1002,60
607481,2025,85.78229613733906,932,45
607536,2024,88.28092391304348,1840,23
607536,2025,87.25120091498285,2623,33
607625,2024,87.27671441633649,3281,36
607625,2025,85.62083827599842,2529,28
607644,2024,85.07124999999999,320,4
607732,2025,62.45384615384615,26,1
608032,2024,93.95209513023782,883,60
608032,2025,91.83962264150944,1113,70
608331,2024,87.06707056307911,2806,32
608331,2025,88.27975352112676,3408,36
608334,2024,89.72479619565217,1472,37
608334,2025,89.18927875243665,513,14
608337,2025,88.27445101351351,2368,26
608344,2024,86.10187207488299,1922,31
608371,2024,88.05762711864406,885,61
608371,2025,89.61827956989248,279,20
608372,2025,87.7325925925926,2565,31
608379,2024,86.80113304093567,2736,31
608379,2025,86.60310954063604,2830,33
608566,2024,92.11999999999999,70,1
608566,2025,90.98822463768116,2207,28
608638,2024,90.85746691871455,529,36
608638,2025,86.74615384615385,13,2
608648,2024,85.50158730158729,189,9
608650,2025,88.91497975708502,741,24
608665,2025,90.80555555555556,324,19
608671,2025,44.44615384615384,13,1
608678,2024,90.70969529085873,361,25
608717,2024,87.12371859296483,995,60
608717,2025,86.75334728033472,478,19
608718,2024,82.91536203522504,1022,49
608718,2025,84.31768189509306,1182,51
608723,2024,85.53506097560975,983,72
612434,2024,89.04671814671813,259,14
612434,2025,90.92635658914729,129,10
613534,2024,89.2019417475728,824,59
614179,2024,91.72539503386004,886,57
614179,2025,91.38413173652694,334,20
615698,2024,88.73484676503973,2643,31
615698,2025,88.72022471910111,2047,28
620443,2024,60.666666666666664,3,1
620443,2025,62.98260869565217,23,2
620454,2024,,0,1
620454,2025,89.04264705882352,543,29
620982,2024,88.77509025270759,277,8
621016,2024,89.67178683385579,319,16
621016,2025,86.51764705882353,17,1
621028,2025,55.62352941176471,34,2
621048,2024,,0,1
621051,2024,86.78651685393258,623,43
621051,2025,86.3577380952381,1008,61
621053,2024,92.16072289156625,830,52
621053,2025,90.2734939759036,996,59
621057,2024,90.36,10,3
621057,2025,91.06744186046512,86,5
621097,2024,87.755938697318,261,6
621097,2025,87.12307692307692,26,1
621107,2024,86.83893735130849,2522,30
621107,2025,86.2429180887372,1172,16
621111,2024,89.31868338557993,1595,20
621111,2025,89.06180124223602,2254,27
621112,2024,87.05653188180405,1286,16
621112,2025,87.97006451612904,775,17
621114,2024,88.81105263157895,570,34
621114,2025,86.3974358974359,39,2
621121,2025,86.31142109851787,1147,17
621139,2024,,0,1
621139,2025,86.57401574803148,381,18
621142,2024,,0,1
621199,2024,88.17747572815534,515,29
621199,2025,88.19194630872484,447,23
621237,2024,95.72636771300448,1115,70
621237,2025,96.78466019417475,515,32
621242,2024,93.81319569120286,1114,63
621242,2025,93.38950328022493,1067,63
621244,2024,89.16527406417113,2992,33
621244,2025,88.51373265157049,2738,33
621294,2024,88.8227450980392,255,8
621345,2024,91.35666666666667,540,43
621345,2025,91.1153488372093,215,17
621363,2024,88.64633730834753,587,45
621363,2025,89.32355212355212,259,17
621366,2024,88.84278606965175,201,16
621366,2025,86.95435816164817,631,42
621381,2024,90.41446009389671,1065,72
621381,2025,88.46826171875,1024,69
621383,2024,88.94422110552763,1194,66
621383,2025,87.44294425087108,1148,74
621389,2024,84.95975286849072,1133,22
621399,2024,88.60454545454546,44,2
621512,2025,54.144444444444446,9,1
621550,2024,63.138461538461534,13,1
622065,2024,86.53183520599251,267,17
622072,2024,86.28835978835978,756,11
622075,2024,89.09384057971015,276,21
622088,2024,88.84893617021275,47,7
622098,2024,89.93955431754874,359,21
622103,2024,90.46455696202531,79,4
622250,2024,89.92909698996655,299,20
622251,2024,89.524,450,28
622253,2024,87.15267558528429,598,34
622253,2025,84.57625899280576,139,6
622256,2025,,0,1
