game_pk,pitcher,pitch_group,pitches,game_date
744822,676254,breaking,4,2024-08-07
744822,676254,fastball,3,2024-08-07
744822,678606,breaking,1,2024-08-07
744822,678606,fastball,9,2024-08-07
744822,678606,offspeed,2,2024-08-07
744823,571882,breaking,6,2024-08-03
744823,571882,fastball,13,2024-08-03
744823,571882,offspeed,3,2024-08-03
744823,640448,breaking,1,2024-08-03
744823,640448,fastball,16,2024-08-03
744823,640448,offspeed,1,2024-08-03
744823,650644,breaking,22,2024-08-03
744823,650644,fastball,57,2024-08-03
744823,650644,offspeed,1,2024-08-03
744823,669060,breaking,4,2024-08-03
744823,669060,fastball,24,2024-08-03
744823,669060,offspeed,3,2024-08-03
744823,672851,breaking,2,2024-08-03
744823,672851,fastball,10,2024-08-03
744823,672851,offspeed,4,2024-08-03
744823,683232,breaking,3,2024-08-03
744823,683232,fastball,7,2024-08-03
744823,687792,breaking,10,2024-08-03
744823,687792,fastball,52,2024-08-03
744823,687792,offspeed,15,2024-08-03
744824,545121,breaking,1,2024-07-24
744824,545121,fastball,3,2024-07-24
744824,571670,breaking,2,2024-07-24
744824,571670,fastball,12,2024-07-24
744824,571670,offspeed,1,2024-07-24
744824,606930,breaking,1,2024-07-24
744824,606930,fastball,33,2024-07-24
744824,607179,breaking,9,2024-07-24
744824,607179,fastball,19,2024-07-24
744824,607179,offspeed,2,2024-07-24
744824,660853,breaking,4,2024-07-24
744824,660853,fastball,8,2024-07-24
744824,660853,offspeed,3,2024-07-24
744824,663362,breaking,45,2024-07-24
744824,663362,fastball,45,2024-07-24
744824,663432,breaking,3,2024-07-24
744824,663432,fastball,22,2024-07-24
744824,670810,breaking,1,2024-07-24
744824,670810,fastball,3,2024-07-24
744824,670810,offspeed,1,2024-07-24
744824,673513,breaking,4,2024-07-24
744824,673513,fastball,5,2024-07-24
744824,673513,offspeed,2,2024-07-24
744824,680730,breaking,32,2024-07-24
744824,680730,fastball,32,2024-07-24
744824,680730,offspeed,13,2024-07-24
744825,571948,breaking,8,2024-08-02
744825,571948,fastball,10,2024-08-02
744825,571948,offspeed,2,2024-08-02
744825,593423,breaking,4,2024-08-02
744825,593423,fastball,67,2024-08-02
744825,593423,offspeed,18,2024-08-02
744825,606303,breaking,1,2024-08-02
744825,606303,fastball,5,2024-08-02
744825,606303,offspeed,2,2024-08-02
744825,606930,fastball,27,2024-08-02
744825,657649,fastball,12,2024-08-02
744825,663432,breaking,1,2024-08-02
744825,663432,fastball,8,2024-08-02
744825,663623,breaking,26,2024-08-02
744825,663623,fastball,78,2024-08-02
744825,663623,offspeed,6,2024-08-02
744825,665625,breaking,4,2024-08-02
744825,665625,fastball,7,2024-08-02
744825,674285,breaking,6,2024-08-02
744825,674285,fastball,6,2024-08-02
744825,676395,breaking,1,2024-08-02
744825,676395,fastball,8,2024-08-02
744825,676395,offspeed,5,2024-08-02
744825,678606,breaking,1,2024-08-02
744825,678606,fastball,16,2024-08-02
744825,678606,offspeed,1,2024-08-02
744826,571882,breaking,4,2024-08-04
744826,571882,fastball,4,2024-08-04
744826,571882,offspeed,1,2024-08-04
744826,571948,breaking,7,2024-08-04
744826,571948,fastball,12,2024-08-04
744826,571948,offspeed,1,2024-08-04
744826,606303,breaking,3,2024-08-04
744826,606303,fastball,3,2024-08-04
744826,606930,breaking,1,2024-08-04
744826,606930,fastball,3,2024-08-04
744826,640448,breaking,3,2024-08-04
744826,640448,fastball,7,2024-08-04
744826,640448,offspeed,1,2024-08-04
744826,642207,fastball,9,2024-08-04
744826,642207,offspeed,8,2024-08-04
744826,665625,breaking,4,2024-08-04
744826,665625,fastball,6,2024-08-04
744826,668964,breaking,13,2024-08-04
744826,668964,fastball,42,2024-08-04
744826,668964,offspeed,9,2024-08-04
744826,676395,breaking,1,2024-08-04
744826,676395,fastball,5,2024-08-04
744826,676395,offspeed,7,2024-08-04
744826,680730,breaking,24,2024-08-04
744826,680730,fastball,43,2024-08-04
744826,680730,offspeed,20,2024-08-04
744827,571578,breaking,60,2024-07-25
744827,571578,fastball,49,2024-07-25
744827,571882,breaking,5,2024-07-25
744827,571882,fastball,4,2024-07-25
744827,656302,breaking,70,2024-07-25
744827,656302,fastball,44,2024-07-25
744827,678606,fastball,9,2024-07-25
