game_pk,pitcher,game_date,team,bf,k,bb,hbp,hr,hits,fb,bip,outs,runs,close_outs,pitches,is_starter
744814,676395,2024-08-20,WSH,4,0,0,0,0,3,0,4,3.0,0,3.0,9,False
744814,678606,2024-08-20,WSH,5,1,0,0,0,1,1,4,4.0,0,4.0,15,False
744814,683409,2024-08-20,COL,5,1,1,0,0,1,2,3,3.0,0,3.0,19,False
744814,687792,2024-08-20,WSH,25,7,2,0,0,6,5,16,17.0,2,17.0,93,True
744815,571578,2024-08-22,WSH,22,8,1,1,1,4,3,12,18.0,1,18.0,95,True
744815,606930,2024-08-22,WSH,2,1,0,0,0,0,0,1,2.0,0,0.0,7,False
744815,615698,2024-08-22,COL,19,4,2,0,0,2,7,13,15.0,2,15.0,85,True
744815,656458,2024-08-22,COL,5,0,0,1,0,4,0,4,0.0,3,0.0,16,False
744815,663567,2024-08-22,COL,12,2,2,0,1,5,2,8,6.0,3,0.0,47,False
744815,664875,2024-08-22,COL,3,1,0,0,0,0,0,2,3.0,0,0.0,11,False
744815,672851,2024-08-22,WSH,6,1,1,0,1,2,1,4,3.0,2,0.0,24,False
744815,676395,2024-08-22,WSH,4,3,0,0,0,0,0,1,4.0,0,0.0,21,False
744816,606930,2024-08-11,WSH,3,0,0,0,0,1,1,3,3.0,0,0.0,11,False
744816,607179,2024-08-11,WSH,6,1,4,0,0,0,1,1,2.0,1,0.0,32,False
744816,657508,2024-08-11,LAA,3,0,2,0,0,0,0,1,1.0,0,0.0,15,False
744816,663432,2024-08-11,WSH,6,1,2,0,0,1,1,3,3.0,0,0.0,28,False
744816,669022,2024-08-11,WSH,22,2,6,0,0,5,4,14,12.0,5,11.0,86,True
744816,676395,2024-08-11,WSH,5,1,0,0,0,1,1,4,4.0,0,0.0,16,False
744816,678606,2024-08-11,WSH,5,0,1,0,0,1,1,4,3.0,0,0.0,27,False
744816,686799,2024-08-11,LAA,29,2,1,0,1,6,5,26,23.0,2,9.0,93,True
744816,690829,2024-08-11,LAA,7,0,2,0,0,3,0,5,3.0,2,2.0,29,False
744817,571882,2024-08-06,WSH,6,1,0,0,0,0,2,5,6.0,0,0.0,28,False
744817,573124,2024-08-06,SF,4,1,2,0,0,0,1,1,2.0,0,0.0,17,False
744817,663432,2024-08-06,WSH,4,2,0,0,0,1,0,2,3.0,0,0.0,18,False
744817,663546,2024-08-06,SF,11,3,0,0,1,4,1,8,8.0,3,0.0,42,False
744817,669022,2024-08-06,WSH,27,6,2,1,2,8,5,18,15.0,5,8.0,98,True
744817,676395,2024-08-06,WSH,3,1,0,0,0,0,2,2,3.0,0,0.0,10,False
744817,678495,2024-08-06,SF,15,3,1,0,0,6,3,11,8.0,2,3.0,56,False
744817,806185,2024-08-06,SF,14,1,3,0,2,5,4,10,6.0,6,2.0,66,True
744818,519043,2024-08-09,LAA,5,0,1,0,0,0,2,4,4.0,0,4.0,14,False
744818,519326,2024-08-09,LAA,3,0,0,0,0,0,0,3,3.0,0,3.0,11,False
744818,606930,2024-08-09,WSH,7,3,0,0,0,2,0,4,5.0,0,5.0,32,False
744818,640448,2024-08-09,WSH,7,2,1,0,0,0,2,4,6.0,0,6.0,29,False
744818,650671,2024-08-09,LAA,5,0,0,0,0,2,3,5,3.0,1,3.0,15,False
744818,667755,2024-08-09,LAA,23,7,1,0,0,4,2,15,18.0,1,18.0,88,True
744818,680730,2024-08-09,WSH,28,5,0,0,1,8,11,23,19.0,2,19.0,98,True
744818,690829,2024-08-09,LAA,1,0,0,0,0,1,0,1,2.0,1,2.0,6,False
744819,571882,2024-08-08,WSH,7,2,0,0,0,2,1,5,6.0,0,6.0,32,False
744819,573124,2024-08-08,SF,3,2,0,0,0,0,0,1,3.0,0,0.0,15,False
744819,606930,2024-08-08,WSH,7,3,1,0,0,1,1,3,6.0,0,6.0,24,False
744819,640448,2024-08-08,WSH,6,1,2,0,0,2,0,3,2.0,3,2.0,29,False
744819,663546,2024-08-08,SF,1,0,0,0,0,0,0,1,1.0,0,1.0,5,False
744819,663855,2024-08-08,SF,4,0,1,0,0,1,0,3,3.0,0,3.0,15,False
744819,666808,2024-08-08,SF,6,0,2,0,1,1,2,4,3.0,3,1.0,25,False
744819,669062,2024-08-08,SF,3,2,0,0,0,0,1,1,3.0,0,3.0,12,False
744819,672851,2024-08-08,WSH,2,0,0,0,0,1,1,2,1.0,1,0.0,10,False
744819,674285,2024-08-08,WSH,5,2,0,0,0,1,1,3,4.0,0,4.0,20,False
744819,676254,2024-08-08,SF,3,1,0,0,0,0,1,2,3.0,0,3.0,10,False
744819,676395,2024-08-08,WSH,7,1,0,0,0,2,2,6,3.0,3,2.0,24,False
744819,687792,2024-08-08,WSH,16,4,4,0,0,4,3,8,8.0,2,8.0,74,True
744819,690986,2024-08-08,SF,19,3,0,0,0,5,6,16,14.0,2,14.0,61,True
744820,519326,2024-08-10,LAA,4,1,1,0,0,0,0,2,3.0,0,3.0,19,False
744820,571578,2024-08-10,WSH,22,2,3,0,1,8,3,17,12.0,4,12.0,95,True
744820,571882,2024-08-10,WSH,7,1,0,0,0,1,2,6,6.0,0,6.0,23,False
744820,656288,2024-08-10,LAA,25,0,0,0,1,8,8,25,21.0,4,21.0,89,True
744820,663432,2024-08-10,WSH,3,1,0,0,0,0,2,2,3.0,0,3.0,10,False
744820,668968,2024-08-10,LAA,3,1,0,0,0,0,2,2,3.0,0,3.0,23,False
744820,672710,2024-08-10,LAA,1,0,0,0,0,1,1,1,3.0,1,3.0,2,False
744820,674285,2024-08-10,WSH,7,0,1,0,0,1,0,6,6.0,0,6.0,21,False
744820,678606,2024-08-10,WSH,4,1,0,0,0,1,1,3,3.0,0,3.0,11,False
744821,571578,2024-08-05,WSH,25,6,1,0,2,7,7,18,18.0,4,8.0,90,True
744821,573124,2024-08-05,SF,4,2,0,0,0,2,0,2,2.0,0,0.0,13,False
744821,606930,2024-08-05,WSH,3,1,0,0,0,0,1,2,3.0,0,0.0,13,False
744821,643511,2024-08-05,SF,1,0,0,0,0,0,1,1,1.0,0,0.0,3,False
744821,657277,2024-08-05,SF,24,4,3,0,0,4,3,17,17.0,1,6.0,95,True
744821,666808,2024-08-05,SF,3,3,0,0,0,0,0,0,3.0,0,0.0,13,False
744821,674285,2024-08-05,WSH,5,1,0,0,0,2,0,4,3.0,0,0.0,20,False
744821,676254,2024-08-05,SF,5,2,0,1,0,0,2,2,4.0,0,0.0,16,False
744821,678606,2024-08-05,WSH,3,2,0,0,0,0,0,1,3.0,0,0.0,12,False
744822,605483,2024-08-07,SF,23,8,1,0,1,4,2,14,18.0,3,15.0,93,True
744822,643511,2024-08-07,SF,3,1,0,0,0,0,0,2,3.0,0,0.0,12,False
744822,663432,2024-08-07,WSH,3,0,0,0,0,0,3,3,3.0,0,0.0,10,False
744822,663623,2024-08-07,WSH,23,4,1,0,3,8,9,18,15.0,5,15.0,94,True
744822,666808,2024-08-07,SF,5,0,1,1,0,1,0,3,3.0,0,0.0,17,False
744822,669062,2024-08-07,SF,5,0,1,0,0,2,2,4,2.0,1,0.0,18,False
744822,672851,2024-08-07,WSH,3,0,0,0,0,0,1,3,3.0,0,0.0,6,False
744822,674285,2024-08-07,WSH,4,0,0,0,0,0,2,4,4.0,0,0.0,12,False
744822,676254,2024-08-07,SF,2,1,0,0,0,1,0,1,1.0,0,0.0,7,False
744822,678606,2024-08-07,WSH,5,0,0,1,0,2,1,4,2.0,2,0.0,12,False
744823,571882,2024-08-03,WSH,7,1,0,0,1,1,2,6,6.0,1,0.0,22,False
744823,640448,2024-08-03,WSH,6,1,0,0,0,2,2,5,4.0,1,4.0,18,False
744823,650644,2024-08-03,MIL,20,3,1,0,1,7,3,16,12.0,5,2.0,80,True
744823,669060,2024-08-03,MIL,10,0,0,0,0,3,2,10,9.0,1,0.0,31,False
744823,672851,2024-08-03,WSH,4,1,0,0,0,2,0,3,2.0,0,0.0,16,False
744823,683232,2024-08-03,MIL,3,1,0,0,0,0,1,2,3.0,0,3.0,10,False
744823,687792,2024-08-03,WSH,20,6,1,1,0,2,4,12,15.0,1,3.0,77,True
744824,545121,2024-07-24,WSH,5,0,0,0,0,2,2,5,3.0,0,0.0,12,False
744824,571670,2024-07-24,WSH,4,0,0,0,0,2,0,4,3.0,0,0.0,15,False
744824,606930,2024-07-24,WSH,8,2,0,0,0,2,0,6,6.0,1,0.0,34,False
744824,607179,2024-07-24,WSH,9,0,0,0,1,6,4,9,3.0,5,0.0,30,False
744824,660853,2024-07-24,SD,3,1,0,0,0,0,2,2,3.0,0,0.0,15,False
744824,663362,2024-07-24,SD,22,4,2,0,1,4,4,16,18.0,3,4.0,90,True
744824,663432,2024-07-24,WSH,5,0,1,0,0,1,1,4,3.0,0,0.0,25,False
744824,670810,2024-07-24,SD,4,0,0,0,0,1,2,4,3.0,0,0.0,5,False
744824,673513,2024-07-24,SD,4,1,0,0,0,1,1,3,3.0,0,0.0,11,False
744824,680730,2024-07-24,WSH,19,5,3,0,1,7,3,11,9.0,6,6.0,77,True
744825,571948,2024-08-02,MIL,4,1,1,0,0,0,0,2,3.0,0,0.0,20,False
744825,593423,2024-08-02,MIL,24,5,0,0,1,9,4,19,15.0,3,11.0,89,True
744825,606303,2024-08-02,MIL,3,1,0,0,0,0,1,2,3.0,0,3.0,8,False
744825,606930,2024-08-02,WSH,5,2,1,0,1,1,1,2,3.0,1,1.0,27,False
744825,657649,2024-08-02,MIL,4,0,0,0,0,1,2,4,3.0,0,0.0,12,False
744825,663432,2024-08-02,WSH,3,1,0,0,0,0,1,2,3.0,0,0.0,9,False
744825,663623,2024-08-02,WSH,24,4,2,0,0,6,7,18,17.0,3,12.0,110,True
744825,665625,2024-08-02,MIL,3,0,0,0,0,0,0,3,3.0,0,0.0,11,False
744825,674285,2024-08-02,WSH,4,1,1,0,0,1,0,2,2.0,1,0.0,13,False
744825,676395,2024-08-02,WSH,4,1,1,1,0,1,0,1,1.0,2,1.0,14,False
744825,678606,2024-08-02,WSH,4,0,1,0,0,2,0,3,1.0,1,0.0,18,False
744826,571882,2024-08-04,WSH,3,2,0,0,0,0,1,1,3.0,0,0.0,9,False
744826,571948,2024-08-04,MIL,5,1,0,0,0,4,0,4,1.0,3,1.0,20,False
744826,606303,2024-08-04,MIL,3,0,1,0,0,0,0,1,2.0,0,0.0,6,False
744826,606930,2024-08-04,WSH,1,1,0,0,0,0,0,0,1.0,0,1.0,4,False
744826,640448,2024-08-04,WSH,3,0,0,0,0,1,1,3,3.0,0,3.0,11,False
744826,642207,2024-08-04,MIL,4,1,0,0,0,1,2,3,3.0,0,3.0,17,False
744826,665625,2024-08-04,MIL,3,0,0,0,0,0,0,3,3.0,0,0.0,10,False
744826,668964,2024-08-04,MIL,18,2,1,0,1,4,9,15,15.0,1,15.0,64,True
744826,676395,2024-08-04,WSH,5,0,0,0,1,3,2,5,2.0,3,0.0,13,False
744826,680730,2024-08-04,WSH,22,3,3,0,0,3,4,16,18.0,0,18.0,87,True
744827,571578,2024-07-25,WSH,27,7,3,0,0,4,2,17,21.0,3,2.0,109,True
744827,571882,2024-07-25,WSH,3,0,0,0,0,1,1,3,3.0,0,0.0,9,False
744827,656302,2024-07-25,SD,28,9,3,0,0,0,3,16,27.0,0,0.0,114,True
744827,678606,2024-07-25,WSH,4,0,0,0,0,1,0,4,3.0,0,0.0,11,False
