batter,p_throws,game_pk,game_date,woba_sum,woba_denom,iso_sum,iso_n,pa,k,bb,hard,bip
453568,R,746555,2024-05-12,0.9,3.0,0.0,3,3,0,0,0,3
453568,R,746556,2024-05-25,1.25,5.0,1.0,5,5,0,0,1,5
453568,R,746557,2024-05-26,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,746560,2024-04-27,0.9,5.0,0.0,5,5,1,0,1,4
453568,R,746562,2024-05-08,1.6,4.0,0.0,4,4,0,1,0,3
453568,R,746563,2024-05-09,2.85,4.0,3.0,4,4,0,0,2,4
453568,R,746565,2024-04-22,1.25,4.0,1.0,4,4,0,0,1,4
453568,R,746566,2024-04-23,0.9,4.0,0.0,4,4,2,0,2,2
453568,R,746567,2024-04-24,0.0,3.0,0.0,3,3,1,0,0,2
453568,R,746568,2024-04-21,1.6,4.0,0.0,4,4,1,1,0,2
453568,R,746569,2024-04-08,4.3,5.0,5.0,5,5,2,1,2,2
453568,R,746570,2024-04-20,0.0,3.0,0.0,3,3,1,0,0,2
453568,R,746571,2024-04-09,2.3,4.0,0.0,5,5,0,2,0,2
453568,R,746573,2024-04-10,0.0,1.0,0.0,1,1,1,0,0,0
453568,R,746574,2024-04-07,0.7,4.0,0.0,4,4,1,1,0,2
453568,R,746575,2024-04-06,0.9,2.0,0.0,2,2,0,0,0,2
453568,R,746576,2024-04-05,0.0,4.0,0.0,4,4,1,0,0,3
453568,R,746692,2024-07-08,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,746778,2024-06-29,0.0,4.0,0.0,4,4,2,0,0,2
453568,R,746779,2024-06-30,0.0,1.0,0.0,1,1,1,0,0,0
453568,R,746898,2024-04-02,3.05,4.0,1.0,4,4,0,0,2,4
453568,R,746900,2024-04-03,3.05,4.0,1.0,4,4,0,0,2,4
453568,R,747073,2024-09-05,0.0,3.0,0.0,3,3,0,0,1,3
453568,R,747075,2024-09-04,2.15,4.0,1.0,5,5,1,0,1,3
453568,R,747079,2024-09-03,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,747160,2024-08-13,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,747165,2024-08-12,0.0,4.0,0.0,4,4,0,0,2,4
453568,R,747221,2024-03-30,0.0,2.0,0.0,2,2,0,0,0,2
453568,R,747223,2024-03-29,0.0,3.0,0.0,3,3,0,0,1,3
453568,R,747224,2024-03-28,0.7,3.0,0.0,3,3,0,1,1,2
455117,L,745185,2024-05-05,0.0,2.0,0.0,2,2,2,0,0,0
455117,L,745187,2024-05-03,0.0,1.0,0.0,1,1,0,0,1,1
455117,L,745244,2024-06-11,0.9,2.0,0.0,2,2,0,0,0,2
455117,L,745592,2024-04-19,0.7,1.0,0.0,1,1,0,1,0,0
455117,L,745745,2024-05-19,0.0,2.0,0.0,3,3,0,0,0,2
455117,L,745747,2024-05-17,0.0,3.0,0.0,3,3,2,0,0,1
455117,L,745917,2024-04-23,0.0,2.0,0.0,2,2,1,0,0,1
455117,L,745983,2024-05-31,0.0,1.0,0.0,1,1,1,0,0,0
455117,L,746330,2024-04-07,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,746457,2024-06-23,0.0,1.0,0.0,1,1,1,0,0,0
455117,L,746617,2024-07-03,2.0,1.0,3.0,1,1,0,0,1,1
455117,L,746653,2024-04-09,0.0,2.0,0.0,2,2,1,0,1,1
455117,L,746779,2024-06-30,0.0,2.0,0.0,2,2,0,0,2,2
455117,L,746787,2024-06-09,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,746794,2024-05-25,0.2,0.0,0.0,1,1,0,0,0,1
455117,L,746799,2024-05-14,0.0,2.0,0.0,2,2,2,0,0,0
455117,L,746806,2024-04-30,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,746811,2024-04-13,0.0,3.0,0.0,3,3,1,0,1,2
455117,L,746812,2024-04-12,0.0,2.0,0.0,2,2,0,0,0,2
455117,L,746814,2024-04-02,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,746816,2024-06-27,0.0,2.0,0.0,2,2,2,0,0,0
455117,L,746817,2024-04-01,0.0,1.0,0.0,1,1,0,0,1,1
455117,L,746821,2024-03-28,0.0,3.0,0.0,3,3,1,0,0,2
455117,L,746872,2024-06-04,0.0,2.0,0.0,2,2,1,0,1,1
455117,L,747187,2024-06-15,0.2,1.0,0.0,2,2,0,0,1,2
455117,L,747189,2024-06-16,0.7,3.0,0.0,3,3,2,1,0,0
455117,L,776931,2025-07-30,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,776992,2025-07-26,1.6,2.0,0.0,2,2,0,1,0,1
455117,L,777052,2025-07-22,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,777062,2025-07-21,0.0,1.0,0.0,1,1,1,0,0,0
455117,L,777091,2025-07-19,1.25,2.0,1.0,2,2,0,0,1,2
455117,L,777126,2025-07-12,0.0,1.0,0.0,1,1,1,0,0,0
455117,L,777158,2025-07-10,0.0,2.0,0.0,2,2,0,0,0,2
455117,L,777203,2025-07-07,0.2,0.0,0.0,1,1,0,0,0,1
455117,L,777207,2025-07-06,0.9,1.0,0.0,1,1,0,0,0,1
455117,L,777223,2025-07-05,0.7,1.0,0.0,1,1,0,1,0,0
455117,L,777290,2025-07-02,0.0,2.0,0.0,2,2,1,0,1,1
455117,L,777328,2025-06-28,0.0,2.0,0.0,2,2,1,0,1,1
455117,L,777413,2025-06-21,1.6,2.0,0.0,2,2,0,1,1,1
455117,L,777586,2025-06-08,0.0,1.0,0.0,1,1,1,0,0,0
455117,L,777617,2025-06-06,1.25,2.0,1.0,2,2,1,0,0,1
455117,L,777633,2025-06-05,0.0,2.0,0.0,2,2,2,0,0,0
455117,L,777681,2025-06-01,0.0,2.0,0.0,2,2,1,0,1,1
455117,L,777691,2025-05-31,0.9,2.0,0.0,2,2,1,0,1,1
455117,L,777756,2025-05-26,0.0,2.0,0.0,2,2,0,0,0,2
455117,L,777914,2025-05-14,0.7,2.0,0.0,2,2,1,1,0,0
455117,L,778019,2025-05-07,0.9,3.0,0.0,3,3,1,0,2,2
455117,L,778045,2025-05-05,0.0,1.0,0.0,1,1,0,0,0,1
455117,L,778065,2025-05-03,0.9,2.0,0.0,2,2,1,0,1,1
455117,L,778090,2025-05-02,1.25,1.0,1.0,1,1,0,0,1,1
