precision,recall,threshold
0.4889,0.3597,0.4527
0.4907,0.3597,0.4529
0.4888,0.3569,0.4529
0.4906,0.3569,0.4529
0.4887,0.3542,0.453
0.4906,0.3542,0.4531
0.4924,0.3542,0.4532
0.4905,0.3515,0.4532
0.4885,0.3488,0.4536
0.4904,0.3488,0.4536
0.4923,0.3488,0.4537
0.4942,0.3488,0.4538
0.4922,0.346,0.4539
0.4942,0.346,0.4539
0.4961,0.346,0.4541
0.4941,0.3433,0.4544
0.4961,0.3433,0.4544
0.498,0.3433,0.4545
0.496,0.3406,0.4545
0.494,0.3379,0.4548
0.496,0.3379,0.4549
0.498,0.3379,0.455
0.5,0.3379,0.455
0.502,0.3379,0.455
0.5,0.3351,0.4553
0.502,0.3351,0.4555
0.5041,0.3351,0.4557
0.5062,0.3351,0.4557
0.5041,0.3324,0.4559
0.5021,0.3297,0.4559
0.5,0.327,0.4562
0.4979,0.3243,0.4565
0.4958,0.3215,0.4566
0.4979,0.3215,0.4567
0.5,0.3215,0.4568
0.5021,0.3215,0.4568
0.5043,0.3215,0.4569
0.5021,0.3188,0.4569
0.5043,0.3188,0.4569
0.5065,0.3188,0.4572
0.5087,0.3188,0.4575
0.5066,0.3161,0.4577
0.5044,0.3134,0.4577
0.5022,0.3106,0.4577
0.5,0.3079,0.4578
0.4978,0.3052,0.4579
0.4955,0.3025,0.458
0.4933,0.2997,0.4582
0.491,0.297,0.4584
0.4932,0.297,0.4584
0.4909,0.2943,0.4585
0.4886,0.2916,0.4585
0.4908,0.2916,0.4585
0.4931,0.2916,0.4586
0.4907,0.2888,0.4587
0.4884,0.2861,0.4587
0.486,0.2834,0.4588
0.4883,0.2834,0.4588
0.4858,0.2807,0.459
0.4882,0.2807,0.4591
0.4857,0.2779,0.4592
0.488,0.2779,0.4592
0.4904,0.2779,0.4594
0.4928,0.2779,0.4594
0.4903,0.2752,0.4595
0.4927,0.2752,0.4595
0.4951,0.2752,0.4596
0.4926,0.2725,0.4602
0.4901,0.2698,0.4602
0.4876,0.267,0.4603
0.49,0.267,0.4604
0.4925,0.267,0.4605
0.4899,0.2643,0.4607
0.4924,0.2643,0.4609
0.4898,0.2616,0.461
0.4872,0.2589,0.4611
0.4897,0.2589,0.4612
0.487,0.2561,0.4613
0.4896,0.2561,0.4613
0.4869,0.2534,0.4615
0.4842,0.2507,0.4616
0.4868,0.2507,0.4616
0.484,0.248,0.462
0.4866,0.248,0.4622
0.4839,0.2452,0.4623
0.4865,0.2452,0.4624
0.4837,0.2425,0.4628
0.4863,0.2425,0.4628
0.489,0.2425,0.4633
0.4862,0.2398,0.4634
0.4833,0.2371,0.4635
0.486,0.2371,0.4635
0.4888,0.2371,0.4636
0.4859,0.2343,0.4636
0.483,0.2316,0.4638
0.4857,0.2316,0.4639
0.4885,0.2316,0.4639
0.4855,0.2289,0.4639
0.4826,0.2262,0.464
0.4854,0.2262,0.464
0.4824,0.2234,0.4644
0.4852,0.2234,0.4645
0.4821,0.2207,0.4646
0.485,0.2207,0.4648
